ion_id,frame,ionic_force,ionic_force_magnitude,motion_component_ionic,cosine_ionic_motion,radial_force,axial_force,motion_vector
2400,594,"[-12.920562520623207, 17.63073266670108, -7.267282247543335]",23.034692563163766,-8.033864768512299,-0.34877238958073875,21.858263202139682,-7.267282247543335,"[3.486774444580078, -5.9720001220703125, -8.539749145507812]"
2399,692,"[8.804081737995148, 0.3854767978191376, -1.8715763092041016]",9.009064629146058,2.104128715708714,0.23355684550219036,8.812516531102597,-1.8715763092041016,"[0.3143463134765625, -1.2615242004394531, -8.960662841796875]"
2398,565,"[-0.7639022618532181, 4.1012390702962875, -19.930686593055725]",20.362612225547107,19.13130058928689,0.9395307624276515,4.171775230928581,-19.930686593055725,"[3.2506446838378906, -1.1598472595214844, -17.24256134033203]"
2397,969,"[-0.6533946990966797, -10.039370059967041, -4.531984776258469]",11.03425402308687,2.5535303555778217,0.2314184855845346,10.060610112402243,-4.531984776258469,"[5.960777282714844, 2.729267120361328, -17.362136840820312]"
2276,707,"[0.7507225573062897, 4.773991197347641, -15.556918144226074]",16.290251024970477,9.975358728624318,0.6123514434083066,4.832657272184864,-15.556918144226074,"[1.5978927612304688, -2.971912384033203, -4.38037109375]"
2520,787,"[-13.154578566551208, 3.3986346274614334, -9.698930323123932]",16.69319933408097,3.148076982409002,0.18858440011447433,13.58652474308822,-9.698930323123932,"[7.958831787109375, 0.7162055969238281, -16.491683959960938]"
2223,959,"[4.85807591676712, 4.0646979212760925, -12.652371108531952]",14.149387459261723,10.54082691116718,0.7449670129901985,6.334245874948247,-12.652371108531952,"[-1.7506599426269531, -5.281822204589844, -18.320533752441406]"
2391,777,"[2.6081194430589676, -4.2312188148498535, -9.195363759994507]",10.45276108820162,8.878427138099886,0.8493858286038185,4.970462723771462,-9.195363759994507,"[0.9539413452148438, 1.3969001770019531, -13.710983276367188]"
2247,794,"[0.25486694276332855, 3.973426640033722, -6.730924963951111]",7.820385367268257,3.1828604513671435,0.40699534637881285,3.9815921968784296,-6.730924963951111,"[2.0873985290527344, -2.63055419921875, -3.9116897583007812]"
2381,946,"[9.601044237613678, -11.661227107048035, -1.7264618799090385]",15.203451539619078,-4.061560214754879,-0.2671472464111686,15.105107351315537,-1.7264618799090385,"[-0.46352386474609375, 6.322200775146484, -12.438140869140625]"
2343,1186,"[2.4428126215934753, 0.49578909622505307, -8.41463577747345]",8.7760603689633,8.280676746972738,0.9435528470448431,2.492617165180414,-8.41463577747345,"[4.815853118896484, -3.690704345703125, -12.438545227050781]"
2230,1225,"[-0.9318812191486359, -2.220571478828788, -13.284280061721802]",13.500793941744657,13.213801346110994,0.978742539374201,2.408181948937791,-13.284280061721802,"[1.012481689453125, -0.3558006286621094, -11.524864196777344]"
2515,1219,"[-7.849294036626816, 10.417173475027084, -12.752289831638336]",18.241431304377944,5.720300019439035,0.31358833218674914,13.043347732933947,-12.752289831638336,"[9.918651580810547, -4.4640045166015625, -19.940650939941406]"
